"Rock Club London", "Rock out with Rock Band karaoke."
"Creating fantasy languages – workshop", "This is an opportunity to bring your own fantasy languages to the experts. If you have a sample of your own fantasy language please bring it along. We have a pronunciation specialist on hand, so by the end you might even be speaking it! With Matt Voice, Edmund Weiner and Catherine Sangster"
"How to beat writers’ block", "Join the T Party writers for some games and exercises designed to generate ideas and inspiration when you don’t know what to write about. It might just light the spark that leads to the great idea for a novel! Maximum 30 places - please arrive promptly."
"Putting The Science Into Sci-Fi", "Calling on her wealth of experience in the civilian and military space programs, where she trained astronauts, and her years as a sci-fi writer, Stephanie Osborn answers your questions about space, the universe and everything."
"Story Writing and Performance Panel", "Your questions for the pros. Join Sidekick Books’ editors and poets Kirsten Irving and Jon Stone, co-founder of The Centre for Solo Performance and author of Creating Solo Performances Sean Bruno, and master poet Jacob Sam-La Rose, for a panel discussion and Q&A on practicing literature professionally. Facilitated by Dan Simpson."
"Feedback Among Friends", "Bring any writing you’ve been working on along for some informal feedback, bring freshly-hatched ideas for some ideas-bouncing, bring your best expertise, tips, and constructive criticism to help others."
"Party & open reading slam", "Finish off your Geekfest by sharing your creation! Take the mic for five minutes and share your Nine Worlds-inspired poems, short stories, oneliners and writing."
"Battle Rapping Monsters", "Create your own monster and send them to rap battle against others! A writing and performance workshop. Suitable for 11+. With Dan Simpson."
"How To Invent The Wheel: Why You Should Write Sci-Fi About Existing Technology", "In this workshop, we’ll look at why Singing in the Rain is science fiction, the unexpected ways technology can change our lives and how writing about the ways that real technology has changed us can help us write about imaginary technologies better. With Chris Farnell."
"Applied Mathematics: Poetry for Geeks", "Spoken word poet Dan Simpson - Glastonbury, BBC Radio, Canterbury Laureate - performs lively poems, smart jokes, and awesome flipchart presentations for geeks, nerds and anyone who likes playing with words. Videogame verse and sci-fi-filled stanzas combine with meta-metre in an engaging show."
"Fanvid Adventures in Space and Time", "Fans have been cutting and recreating footage of their favourite shows since the 70s. These fanvids celebrate, critique and reshape media in their own image. Doctor Who fanvids have a long history of expressing love for the best the show has to offer, bringing new readings to characters and creating new stories for the Doctor and his companions. We look at our favourites before our panelists discuss trends in Doctor Who vidding, and ask the audience what they think. With Amy (such_heights) and Jenni Hughes."
"Queer in the Text", "There’s much queer subtext in classic Who, but there were no explicitly queer characters until the new series. Now we’ve got Captain Jack and the entire cast of Torchwood, River Song, Madame Vastra and Jenny, plus many minor characters. How successful have these representations been? Has the subtext been lost? Do we want it back? What subtext worked well in classic Who, and what sort of queer representation do we want to see today?"
"The Doctor’s Privilege", "The Time Lords are portrayed as an aristocracy, and though the Doctor rejected then destroyed his home, he still benefits from that birth right. He can travel anywhere in time or space, has no obligations, no need for money, and knows just about everything. Wherever he goes, he interferes and assumes authority. How aware is he of his privilege? Does he use his advantages for good, or is he no more than an idealised colonialist figure?"
"Wibbly-Wobbly Timey-Wimey Stuff: The Science of Time Travel in the Real World", "Astrophysicist and rocket scientist Stephanie Osborn talks about concepts in physics that might actually enable us to travel in time, and why they might – or might not – work."
"Why Continuity Doesn’t Matter", "How much of Doctor Who continuity really matters, and how much should we shrug at and carry on? So much of the Doctor Who universe is contradictory, accidental and not, and still nonfiction books try to give a complete history. But with five decades of stories, it can’t all fit neatly together. In the end, the books dumped a whole lot of continuity, and the new series initially did the same. Is any of it really important? Are there parts we really need to keep? What are the bits really worth arguing over?"
"Writing Circular Gallifreyan", "Come and learn Circular High Gallifreyan writing! We’ll be using the writing developed by Loren Sherman with permission, and we’ll provide all the materials and knowledge you need. Space is limited, so come promptly!"
"If A Woman Was Cast As The Doctor", "The argument of whether or not the Doctor can be a woman is over. Of course she can. The series even said so. Now let’s move on to a more interesting conversation and discuss how it could, would, and should have worked: would City of Death have turned into a beautiful sapphic adventure of love? How would Rose and Martha’s storylines have changed? And the Doctor and River’s marriage? What can we learn from the two times the Doctor has already been a woman? Is there anything that should be changed with the Doctor’s gender, or would we just be afraid of all the things the writers could feel obligated to change?"
"Received Fan Wisdom is Wrong", "There are so many things new fans of the show are told by Older, Wiser fans; things that have often been taken for granted as being true. We take a look at this Doctor Who Fan Wisdom and see when it holds up and when it doesn’t. What’re the great stories new fans are advised never to taint their eyes with? What terrible clunkers are regarded as classics? Which companions and Doctors’ reputations have suffered or gained from being over/under-rated in the eyes of fandom?"
"Anytime, Anywhere", "The Doctor can travel anywhere in time and space, and the pure historical story was a regular occurrence in the early days of the show, but has been seen only once since 1966. Would a pure historical work in today’s Doctor Who? Is there any time or place the Doctor should go that he hasn’t yet? Which historical figures does he really need to get around to meeting?"
"A Handy Guide to the Wilderness Years and Beyond", "Doctor Who isn’t just a telly show, it’s also books, audios, comics, webcasts, and computer games. In the nineties, these non-telly sources were the only place you could get (official) new Doctor Who stories. For telly fans looking to step into the worlds of book and audio, where do you even start? Our panel talks about the highs and lows of non-telly Who, and where you can find the good stuff."
"Representation of Gender Roles", "At its best Doctor Who challenges the normative gender roles of society, from Barbara's implicit rejection of the fifties ‘feminine mystique’ to Sarah Jane’s explicit rejection of seventies patriarchy. Ace and Rose are working class heroes. Madame Vastra and Jenny are a married interspecies couple who fight crime, and aliens, in Victorian London. How successfully does the show challenge prevailing gender norms? Where does it succeed best? Where could it do better?"
"RTD vs Lambert", "Verity Lambert and Russell T Davies: two Doctor Who producers making the same show fifty years apart and for very different audiences. Can an RTD fan go back and enjoy Lambert’s work? What does it have to offer the modern viewer? What does each era regard as heroic, and what does it teach us to fear? We look at the work of both producers’ eras and see how much has changed, and why, and whether it’s all for the better."
"Welcome Games and Vids: fic and word games, accompanied by favourite fanvids", "Join us for a relaxed evening of games and fanvids. We’ll be kickstarting the socialising and inspiring stories by setting up games of Slash: Romance Without Boundaries, Dixit and LeCardo. We’ll also be showing some favourite fanvids."
"Welcome Tea Party: tea, squee, and introductions", "A gentle and genteel tea party, with fandom teas and delicious cupcakes. Actually, let’s scrap the genteel and go with the squee. We’ll have fandom signup sheets so you can find out who else is here from your fandoms, chat with the organisers and fellow fanfic fans, and plan your convention schedule."
"Fandom Poster-Making Session: make a “my fandom is fabulous” poster", "Fandom is fabulous! Advertise your fandom on a poster -- you can include fanart (with permission and credit), fic recs, social media links, quotes, graphs ... whatever you like. If you want to prepare a poster (up to A2 size) about how and why your fandom rocks and don’t have time before the convention, we’re running this session to help you create your own poster. We’ll supply A3 paper and some art materials: bring your own artwork, printed material and internet connection."
"What’s My Medium? The effect of canon and platform on fanworks", "The panel examine the advantages and challenges involved in using books, TV, movies, games and other media platforms as inspiration for fanworks. They also consider the various ways of telling a transformative story, and which types of original media tend to inspire particular transformative styles."
"Fanworks Anonymous: fanworks and media consumption", "At this roundtable, we’ll consider how the discovery of fanworks changes the quantity and type of mainstream media that we consume. We’ll also ask whether creators should be concerned about losing audience, and how they might benefit from an understanding of fanworks. Bring your best anecdotes!"
"Nine Fanwork Recs: nine people tell us about their favourite fanwork", "Nine speakers, nine favourite fanworks! A fast-paced TED-style set of seven-minute presentations, in which nine people talk about their favourite fanwork -- why they love it, why they recommend it, what makes it stand out from other works by the same creator, whether it works without knowledge of canon ... As with last year’s Nine Myths About Fanfic session, participants will be timed by a samba-dancing green robot. We’re sorry."
"Fourth Wall Fandom: creator/fan interaction, gently crumbling the fourth wall", "Creators of canon are increasingly likely to interact with their fanbase, whether by referencing fannish tropes in the TV show / film / book, or by interacting with fans on social media platforms. This doesn’t always work out well … The panel discuss how creators can learn to love fandom, how fans can engage with creators, and whether creators (fan or pro) should engage with transformations of their work."
"fanvidshowinglastyearsbestfanvids", "After last year’s Successful Fanvids 101, such heights returns to VJ again, showing off some of the best vids of the last twelve months as well as looking at vids that push the envelope and redefine the artform."
"The Fanvid Phenomenon: every fanvid tells a story", "Fanvids are a long-standing and ever-growing part of fandom, with new technology making them more accessible than ever. Come and listen to the panel talk about just what makes vids such an exciting part of the transformative works world."
"Self-Worth For Fanfic Writers", "Mainstream authors are envious of the feedback and appreciation fanfic writers receive - but is positive feedback a good measure of self-worth? We discuss what matters most: hits, AO3 kudos, comments, bookmarks. Is it the truly insightful comment that shows you have at least one reader who gets exactly what you meant? Are any of these good metrics for success?"
"Go Craft Your Geek On: create a badge celebrating your favourite fandom", "Felt and yarn crafty fun! Come and sew or crochet a little badge to celebrate your favourite fandom. Make a Tardis, the 221B Baker Street door, Hedwig, the Night Vale logo, a Glow Cloud, or a comics shield. Suitable for beginners. All materials provided."
"Fandom Academia: Slash Fiction and The Demographics of Fan Fiction", "Slash Fiction: A Primer – 101 Ways To Subvert A Subtext by Ashton Spacey; and AO3 Surveyed: The Demographics of Fanfiction by Lulu (Centrumlumina). Chaired by Tony Keen."
"#itsallconnected: multi-canon creation in a bigger universe", "At the end of the first Iron Man movie, Nick Fury welcomes Tony Stark to ‘a bigger universe’ – the Marvel Cinematic Universe, in which #itsallconnected. Characters from one movie may appear in another, or in the TV show Agents of SHIELD. Star Trek and Stargate sprawl across TV schedules around the world. In the UK, there’s the Doctor Who / Torchwood continuity. Meanwhile, the latest Star Wars film has elected to ignore their own expanded universe. The panel discuss the pros and cons of each approach, and how they are and how they affect fanworks."
"Slash and feminism: how can slash be a feminist activity?", "Male characters in canon are often more rounded, three-dimensional and credible than female characters. When we write M/M slash, are we reinforcing popular culture’s bias towards male characters, or are we reclaiming them? The panel examine arguments for and against slash as a feminist activity, and talk about genderbending, femslash and the marginalisation of female characters."
"How To Be A Better Beta: beta-reading, and teaching writing, in fandom", "Beta-reading is an art as well as a skill, and betas often go well beyond editing text. They can also be cheerleaders, idea-generators, writing teachers, and even co-authors. The panel discuss effective beta-reading and feedback techniques, and follow up with an interactive workshop on a piece of fanfiction."
"tellmeastorypodficcingpodficcersandpodcasterssharetechniquesandtechnology", "Can podficcers learn anything from podcasters, and vice versa? The panel discuss techniques, technology and performance aspects of their respective fields, and hope to discover new insights into the process from one another."
"Fandom is Fabulous poster session: Show and tell - why my fandom is fabulous", "Fandom is fabulous: we’ll be displaying our contributors’ posters - each promoting a single, fabulous fandom - and giving people the opportunity to look at all the submissions and chat to the creators. If you’d like to contribute, you can make your own poster (up to A2 size) before the convention, or come along to our Fandom poster-making session."
"Collaborative Fanworks: let’s play making up stories", "Emma Vieceli and Malin Rydén met through fandom, and their fan collaboration resulted in a new, original project that neither of them would have created alone. Emma and Malin, and some of the creative team behind the classic fanwork Steve Rogers at 100 will discuss how to make collaborative fanworks fun and fabulous, and how the process can inspire other forms of creativity."
"Chains Of Transformation: remixing the remix – the etiquette of transforming fanworks", "Remix challenges have been running for well over a decade, but there’s increasing debate about the etiquette of the remix. The panel discuss whether a remixer should ask permission from the author of the original fic, and how such permissions work in a culture founded on unauthorised ‘remixes’ of canon."
"Fanfic for Kids: what happens next? Making up your own stories", "A reprise of last year’s successful discussion and workshop centred on fanfiction for pre-teens. Many fanfic writers begin writing fic at an early age, though we don’t know that that’s what we’re doing. What happens next? (Futurefic.) What if a character from this film met a character from that book? (Crossovers.) What would this hero be doing if they’d been born in the contemporary, mundane world? (AUs.) Many pre-teens also want to read fanfiction. What are the best (and safest) sites for them to visit? Are apps like NetNanny at all useful for toning down fic content?"
"Sherlock’s Scavenger Hunt", "Join us for a Sherlock fandom-themed scavenger hunt around the convention site. A re-run of the game from the 2014 Sherlock Picnic in Regents Park."
"Legitimacy and Monetisation of Fanworks: who owns an idea? Who profits from it?", "Retelling, embellishing and developing stories was once common. We look at how the ownership model has become prevalent been subverted by fanworks. Is commercial fanwork, such as the many Sherlock Holmes retellings and adaptations, any more legitimate because it has a monetary basis? What about monetising fanworks as Big Bang Press, Kindle Worlds and even Slash: Romance Without Boundaries aim to do?"
"Writing Historical Fiction and Fanfic: is RPF okay when the person is dead?", "How do we write about historical characters? Is historical fiction a form of Real Person Fiction if it features people who appear in the historical record? A panel of authors and fans discuss techniques of writing historical fiction and how writing about the dead differs from writing about the living."
"Fashion, Costume and Inspiring Fans: three talks on fashion and costume", "The Narrative of Costume Design, by Gavia Baker-Whitelaw aka. Hello, Tailor Stealth Cosplay: Nerdery for the Subtle by E.K. McAlpine."
"Sexuality and Fanfic: exploring depictions of sexuality in fanworks", "The panel discuss the depiction of sexuality in fanfic. Many fanwriters are writing about sex acts that are outside their experience: others may be projecting their own experiences or fantasies onto canon characters. Why do some writers depict a particular character as generally straight, but 'gay for [insert name here]'? How accurate / credible are fanfic depictions of sex and sexuality? Why does it matter if we get things wrong?"
"Welcome Games and Vids, with the Fanfic track", "Join us for a relaxed evening of games and fanvids. We’ll be kickstarting the socialising and inspiring stories by setting up games of Slash: Romance Without Boundaries, Dixit and LeCardo. We’ll also be showing some favourite fanvids."
"Midnight Movie: The Final Programme", "Imagine Doctor Who mixed with James Bond mixed with Dorian Grey and made by film-makers who tripped and got the script pages mixed up. Imagine A Clockwork Orange made by the people behind the Diana Rigg Avengers. Based on a novel by Alan Moore’s spiritual godfather, and featuring secret agents, drugs, violence, several ends of the world, ginger lesbian vampires and more, The Last Programme is all kinds of wonderful."
"Whedon vs Tropes – genre rules and genre disruption - with Whedon track", "Joss Whedon and Drew Goddard’s The Cabin in the Woods emerged from development hell and right into cult movie status. In this talk, critic and columnist Ed Boff has a look at the film’s place in the creators’ canons, why it works so well as a horror deconstruction, and how it reflects the state of the genre."
"The Duke Mitchell All-Nighter – they won’t stop til the last person falls!", "The greatest film club in London takes over the film festival for an entire night! Shorts, trailers, ads, cartoons, quizzes, prizes, music from Deathwaltz records, and much, much more: The Duke promise to keep you up all night with incredible cinema you will never have seen before. They even made a trailer for us! The Duke Mitchell Film Club has been running in London for over six years, sharing their love for discovering and screening incredible, rare and forgotten films from all over the world."
"Queer Eye For The Dead Guy – the secret queer history of the horror genre", "With the Queer Track, Micheal Blyth presents a revisionist history of horror through a queer lens. Illustrated with clips and images, he’ll explore everything from the glorious camp excesses of 1930s monster movies to the homoerotic romps of the 1980s and beyond. Looking at the horror films as AIDS metaphor, interrogating the unsettling demonisation of the transgendered body in the genre, and, of course, taking in a spot of vampiric lezploitation along the way, we’ll see how this often reviled genre has allowed filmmakers to explore radical ideas and taboos, and revel in the queerest of polymorphous desires and perversions."
"Screening – A Nightmare On Elm Street 2: Freddy’s Revenge", "A teenage boy is haunted in his dreams by Freddy Krueger who is out to possess him to continue his murdering in the real world. Contains violence, towel whippings, exploding budgies and a nice ginger lady – all the good stuff."
"thebechdelfilmtestprosconsandbeyondanalysis", "With the Geek Feminism Track. The Bechdel Test asks if a film has two named women characters that talk to each other about something other than a man. It represents a minimum standard for portrayals of women in film, and is failed by most films. Formulated in 1985, it remains a controversial and often misunderstood test to this day and as such, vital and relevant. Tara B of the Wotever Festival facilitates a panel discussion about the good and bad of the Bechdel test."
"Screening: Hanna", "A sixteen-year-old girl raised by her father to be the perfect assassin is dispatched on a mission across Europe, tracked by a ruthless intelligence agent and her operatives. Some kids dream of falling in love with vampires. Others dream of being kickass special agent killers. This is the film for the latter."
"The Duke Mitchell Film Club – shorts, trailers and surprises with The Duke Mitchell Boys", "Bringing the very best in films, shorts, B-Movie trailers, exploitation soundtracks and more to your Saturday night, the best film club in London shares their obscure and incredible cinematic finds over the last year."
"The Film Festival Film Quiz", "The worst thing about quizzes is having to know stuff, so we promise that this film quiz will require as little film knowledge as possible. We may even mark down correct answers. Rounds will include Kirkioke - Karaoke in the style of Wiliam Shatner) - and Kazooioke - karaoke with kazoos - and as many other silly things as we can think of. Prizes for everyone, guaranteed."
"Midnight Movie: Army of Frankensteins", "After being kidnapped by a mad scientist and his boy genius assistant, a young man accidentally ruptures space and time, manifesting multiple Frankensteins from parallel universes. They are all thrust back to the time of the 19th century, directly into the heart of a bloody battle between the North and the South. History will never be the same."
"Morning Of The Trailers – The Duck Video Mix – the strangest, rarest and most awesome trailers", "One year in the making, Night Of The Trailers presents The Duck Video Mix, a 60-minute trip into the outer reaches of your imagination. This audio visual assault is made up of some of the strangest footage you’ll ever see, expect: music videos, weird clips, found footage, adverts and strangely only one incredible trailer, all cut together into a non-stop blistering mixtape. Your eyes and ears are going to take a beating if you make it all the way through this one. Get ready as we’ll be playing this mix very loud!"
"SOS: Save our Skins", "SOS: Save Our Skins is the story of two men, Ben and Stephen, who wake up one morning to find that the human race has disappeared. As they explore the seemingly empty world before them, Ben (lazy, deceitful, stupid) and Stephen (well-meaning, hardworking, stupid) at first celebrate the freedom of being the only two humans left on Earth. But this joy turns to boredom and bickering, and then outright fear as they begin to find other forms of life wandering about the desolate planet - and not all of it friendly."
"Evening Of The Trailers", "Join us to see the strangest, rarest and most awesome trailers. You know how some weird, forgotten films go viral all of a sudden? Someone has to find them in the first place, digging away at the coalface of world cinema to find the gems. Night Of The Trailers are those people, bidding on unmarked VHSs on eBay, just to see what is on them. They will share some of the incredible library of trailers they have amassed. You are guaranteed to see things you have never seen, and quite possibly things you never should."
"cheesecheeseeatingtalkingandgettingtoknoweachother", "Ease yourself into the weekend and get to know some new people, over two kinds of cheese: we’ll be providing some finest cheese - the food kind - for you to nibble on, while you regale your fellow attendees with cheese - the writing kind. If you can, bring a little extract from one of your most guilty pleasures to read out. We don’t think you should ever have to be embarrassed about what you like, but we all still have a book we wouldn’t read on the bus. Come celebrate the cheap erotica, pulp sci-fi and unlikely crime stories we still love, no matter what anyone else thinks."
"Tales from The Underground Restaurant: how to run a supperclub", "Kerstin Rodgers (aka, MsMarmitelover) launched the underground restaurant movement in the UK with her eponymous supper club, The Underground Restaurant. Since then, she’s been at the heart of the supper club movement, providing advice, publishing a book on how to start your own and even running an underground farmers’ market in her own house and garden. Kerstin will be giving an introduction to supperclubs and talking about an all-black banquet, a hobbit feast and a Doctor Who evening."
"Food As Art", "Caroline Hobkinson curates dining experiences that force diners to reassess the way they eat. Her work looks at the world through food: its history, the rituals of how we eat, and the traditions involved in preparing it. She is fascinated by the spectacle of eating, and more recently, by how we can modulate flavour by using different sound frequencies. Caroline will be giving a talk on some of her latest work, including demonstrating a sound which actually makes things taste sweeter."
"anatomyofablendatalkandtastingwithalchemistdreamshandmadeliqueurs", "Alchemist Dreams produce custom handmade liqueurs from a kitchen in East London. Order from them and you’re invited to design your own unique flavour by combining the fruits, herbs and spices of your choice. But how to know what to choose? Head Alchemist and Food Geekery track head Ruth Ball will gives a guided tasting, explaining how to design your own perfect blend."
"Food In Fantasy", "So, you’ve made a world. You’ve designed people or other beings to inhabit it and you’ve given them culture, history and language. But what about food? Food is an central part of most cultures: societies are structured by the need to grow and distribute it and families are structured by cooking and eating it. How will your food reflect the cultures which you have created? Our panel discuss the role of food in fantasy writing, their own and their favourites. Panel: Esther Saxey, Ed Cox, Mark Newton and Gail Carriger "
"What Is Experiential Food?", "The Robin Collective are Elspeth Rae, Robin Fegen and Brandy Wright. Working at the cutting edge of experiential food, their projects have names like Extreme Garnishing, Marshmallow Apothecary, Creating Senses Orchard, and Cryptology Tours. They’ve created entire edible orchards, and bitters made with moisture from the walls of Churchill’s bunker. They’ll tell you what experiential food is and why it’s important, and give some live demonstrations which will literally go off with a bang."
"edibleknittingknittingcordbraceletsfromstrawberrylaces", "Come and make your own edible bracelets! We’ll teach you to make an icord bracelet from delicious strawberry laces. While the bracelets will probably be gone soon, the skill will stay with you forever. Kid-friendly (recommended 8+) but also suitable for adults."
"Talking With Food, Not Words: Telling an edible story", "Chloe Morris talks about her project, Edible Stories. This carefully curated and themed dining experience takes some of your favourite written stories and brings them to life: exclusively through the use of food. Coming into the experience, you are informed of the time and given directions to a secret location, but the title of the story is not revealed. Chloe will be taking us behind the curtain of this creative process."
"Food in Science Fiction", "How do aliens eat? What do they eat? Do they eat at all? Will they want to eat us? Food is essential to human survival and to the survival of most everything we normally think of as living, so in any journey to an alien world it can never be forgotten. Our panel discuss the different ways in which we might grow or construct food in the future, as well as the role food plays in science fiction of all kinds Panel: Sarah McIntyre, Gareth L. Powell and Aliette de Bodard "
"peerrecipewritingwriteyournineworldscookbookentry", "Want to contribute to the Nine Worlds Cookbook but feeling a little unsure of how to write your recipe up? Food track head Ruth Ball and professional food writer and blogger Kerstin Rogers will be relaxing in the bar. Drop in and bring your recipe ideas along. We’ll work with you, and encourage you to work with each other, to put them down in writing. Maybe we’ll have a new idea or two over a drink as well!"
"Virtual Reality and Oculus Rift Demo", "Ian Peters, an independent software developer and specialist in cyber security, VR and astrophotography will be giving the definitive guide to virtual reality and bringing an Oculus Rift, a revolutionary headset designed specifically for videogames with an incredibly wide field of view, high resolution display, and ultra-low latency head tracking. He will also have a number of games for everyone to have a go with."
"From Killer Drones, To Cuddly Robot Companions", "Talk and robot demo with robotics scientist Emma Byrne. Emma Byrne holds is a post-doctrial researcher who works in AI and robotics. She is one of the creators of ‘robot scientist’ – the first machine to have independently discovered new scientific knowledge. "
"Free Is A Lie", "Talk on privacy and survelliance, with Aral Balkan, founder of Indietech.org. It’s 2014. Orwell was 30 years off his prediction for the rise of a surveillance state. He couldn’t foresee that it would be transnational corporations, not just governments, that would help usher in this new era. That instead of coercion, they would use the hegemony of unregulated capitalism to have us exchange our fundamental freedoms for access to modern life. He could not foretell a world where our corporeal selves enjoy fundamental freedoms but our digital selves — our simulations — are enslaved in corporate laboratories. Take a look at what it means to live in a world where our simulations have no rights, what that means for our fundamental freedoms and we can do about it."
"How To Get Your Idea Crowdfunded", "With Kate Russell and Allen Stroud. Kate is a TV producer and presenter who appears weekly on BBC2 and BBC World News, reporting for technology programme, Click. Last month she published her first novel, Elite: Mostly Harmless, after raising £17,000 on Kickstarter. Allen is a published author and lecturer in creative writing and film and TV production. He also raised funds for his most recent novel and short film, Elite: Lave Revolution, on Kickstarter. They’ll explain everything there is to know about crowd funding and help you structure your own campaign to have the best chance of succeeding."
"Mindpong with Stephen Chan", "Stephen Chan celebrates the power of the brain with his latest project, which uses breakthrough electroencephalography (EEG) technology to read brain waves and combines it with game development. Stephen is a techincal Innovator working in the field of games, digital, media and interactive technology. "
"EEG: Brain Hacking and Technology Demo", "Presentation by Martin Dinov, computer scientist pursuing a PhD at Imperial College London, working on creating a real-time EEG-based neurofeedback system for improving human attention; and Oliver Rimington, a bioinformatics PhD student at Cardiff University who builds cognitive enhancement gear. The pair are working together on DIY brain hacking and neurotech projects involving tDCS, tACS, TMS and EEG."
"Drone Zone: introduction to open source hardware and the maker movement", "Anish Mohammed will ask how drones could work with other services to enhance our everyday lives and consider the risks and opportunities. He will bring some drones, so come and see a real live demonstration. Anish is a doctor, bioinformatician, cryptographer, hacker and philosopher passionate about technology, especially big data and security. He runs DroneZone meetup at London Hackspace for geeks interested in autonomous vehicles and other forms of robotics."
"Neuroscience of swearing", "Science writer Emma Byrne argues that, far from tuning out, we should listen carefully when people swear, because they often do so for good reasons. Currently working on her book “That’s F*c#ing Amazing: The History and Science of Swearing”, she’ll look at why swearing kills pain, whether apes swear and why calling someone a lazy c-nt can be the quickest way to make friends. She argues that swearing could sometimes be good for you. "
"Lateral Search: Alternative Search Engines", "Join J. Paul Neeley and Dan Foster-Swith to explore Yossarian – a search engine that helps generate ideas through lateral connections. Its algorithms help people come up with ideas by returning metaphorically related results. A powerful creative tool for anyone looking for new ideas or to see their topic in a new light. With Yossarian’s search algorithms help you see more by suggesting connections and links that you might not have otherwise considered."
"Gamification of Everything: mapping human psychology to technology", "Gamification is applying digital game elements and design techniques to business and social challenges. Gamification designers combine game logic with everyday activities, events, services and products to make the world a more playfully challenging place. Cormac Horan of Gordon Games works in corporate gamification: his talk looks at the potential power of gamification as a future tool for organisations and its power to change human behaviour."
"Game of Thrones with Titancon", "We’re joining forces with Titancon to create a great line-up of panels and events for fans of the A Song of Ice and Fire books and Game of Thrones. Known as the premier Game of Thrones fan convention, TitanCon is fan-run, not-for-profit and based in Belfast, Northern Ireland, where it is ideally placed to attract great guests from the cast and crew. TitanCon 2014 is on 13 September at Wellington Park Hotel, Belfast. It includes a coach tour of filming locations around Northern Ireland. A packed weekend and a lot of fun. Find out more at titancon.com. As actors and set workers tend to make convention plans last-minute, we cannot confirm this track’s content until it’s upon us. We just know it’s going to be amazing."
"Open Session With Tea: Geek Culture Needs Feminism Because...", "Come, gather and be merry… with tea! This open-house session is an informal opportunity to come chat to the organisers, and meet other like-minded geeky feminists. Share ideas, book and blog recommendations, and promote campaigns. There will also be an opportunity to join our photography project and take up a whiteboard to finish the sentence “Geek Culture needs Feminism because…” with what you find most important."
"What the FRAK is Geek Feminism?", "Not sure what Geek Feminism is? Not a problem, ducky. Grab yourself a cuppa, and I’ll tell you all about it. A talk from Geek Feminism track head, Clara Jackson."
"From Magical Girls to Drunken Road Trips: The Women of Manga", "A brief look at the history of women in manga and their creations and characters; from schoolyard sword duels of Revolutionary Girl Utena to the alchemy fueled adventure of Fullmetal Alchemist. A talk by Zalia Chimera and Ash."
"Sex in Video Games", "Video Games Culture meets Geek Feminism to talk sex. Whatever your stance on the matter, there’s no denying sex is a pretty big part of our culture, and any game that tackles the subject of sex is “clearly more mature and an example of the progression of the industry”... or, is it? Our panel discuss portrayals of sex and sexuality in games, from the good to the bad to the downright bizarre. Panel: Cara Ellison, Esther MacCallum-Stewart"
"Cyborgs, Robots and Gender: reality vs fiction, and the body vs technology (16+)", "Science fiction narratives often imagine the body’s relationship to technology and how this might change what it means to be “human”. However, these changes are already happpening now, in the real world. The line between reality and fiction, body and technology is becoming increasingly blurry. The question is whether such technology will reinforce, or even exacerbate, existing gender inequalities or whether it gives us a tool that can allow us to transcend them. Talk by Fran Haswell."
"Policing the Net: Balancing Rights and Responsibilities (18+)", "Following reports that half of low-level crime is internet-related, the issue of online policing – and censorship – has never been hotter. Do minority groups need protection from online bullies, or should they just grow a thicker skin? Is Internet freedom worth aspiring to, or is it just shorthand for survival of the fittest? Are jokes “just a joke”? Is porn a barrier to women online? Or is our obsession with sanitizing the internet imposing moral norms that ultimately harm the minorities we want to protect. Jane Fae, feminist and writer on IT, sexuality and the law takes a look at all of the above. Note: Explicit discussion content"
"“It’s A Man’s World”: Where Are The Women In The Creative Industry?", "What are the implications of a male dominated creative system on creative output? If the majority of writers, designers, producers and directors are men, then what effect does this have on our choices of female role models and protagonists, and what can be done to redress the balance? Panel: Clara Jackson, Kim Curran, Juliet Mushens, Laurie Penny, Shelagh Rowan-Legg, Dr Will Brooker"
"Political Needlepoints: how the craft resurgence has influenced social politics with the Knitting track", "Stitch London’s Lauren O’Farrell, and Royal Holloway’s Laura Price, discuss how the rise in craft’s popularity relates to feminism and how needlecrafts can be used as a political tool. Audience will have a chance to contribute to the discussion, so bring yourselves and your questions! The discussion presupposes no crafting knowledge; non-crafters welcome."
"Zombies, Run! When fitness and fandom collide", "An immensely successful Kickstarter led to this running app that fuses fitness with a powerful narrative. We’ll look at how a diverse cast of characters and a healthy dose of ‘feels’ have inspired people to master the art of running while crying, in a story that lets you save the world in the zombie apocalypse. Panel: Zalia Chimera, David Bryher, Naomi Alderman, Phil Nightingale, Rebecca Levene"
"Assaulting the Narrative: Rape as Character Motivation (16+)", "From Game of Thrones to Lara Croft’s retconned backstory, sexual assault saturates narrative. We look at violent, drugged and coerced assault in film, TV, literature and other media and ask whether rape can ever be used effectively as character motivation. If so, what does ‘good’ look like? Panel: Viktoriya H, Cara Ellison, Den Patrick, Jane Fae, Sophia McDougall, Tom Pollock"
"Can’t Stop The Signal: A Geeky, Feminist Advocacy Workshop", "Have an idea for a campaign but don’t know where to start? Want to be part of the solution but not sure how? Have an amazing strategy for change and want to share it with other like-minded people? Join us for informal brainstorming and developing problems into our solutions. Moderated by Rowan Williams-Fletcher."
"Unspeakable Things: geekery, gender and the future of feminism", "Author Laurie Penny talks about sex, capitalism and the internet, men, women, everyone else and her latest book Unspeakable Things. "
